Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x69e9af83edf0ea708f6faa57ad1fc8711e1b3125,1,0
0x4fc53cdfb93fa69058529aa2caa174581e7fb541,1,0
0x860078e42fcd17f7b3275d952626200597d73df5,1,0
0x089b42092b06348b2cc2241012ba24dd3058921c,1,0
0x21dad2b1d6401b0d1d20b752904d4388a4a403c5,1,0
0xc725e4c3d29c31152c5df27ec778d0359681e156,1,0
0x00f348e7da7554b55e5317e26ab404615f5edad1,1,0
0x23ed26db37221ecb57d1626f92b2d53fd293d5a2,1,0
0x3857bcc7071c233fa0cc221b92c794e09d152fd0,1,0
0xf300e080b2b98e110c096a3c9fdb9825f2c4bf25,1,0
0x1d6b98b054f70dc81a856dd54b7ffeb12b755585,1,0
0xe550ff4c89712409f9d70d0a5cc434a145237881,1,0
0x01888ff9106f0675b7e8d2741083343afb713fac,1,0
0xbdd4755af9529e1159a44bd8171dea7c6e9e14ec,1,0
0xe9e0fcc512eb60412e34e0f55c686abd5f1f97ec,1,0
0xcfd175a5830ac0d2dc38bd43030d1babbcb1ee44,1,0
0x9d5765595a92c560c8759d2a9c375c66123765a5,1,0
0xc7c771663fd6178d2abe6123ffb5f9e1ec82d5d4,1,0
0xea75924c3b708da11482051ce68d5fbeb7547f08,1,0
0x1f8c24902fbe49c235ad89f93d0c06cd699b0dfe,1,0
0xcaaa1783c795a174bef36fa915f656bb479a0cd8,1,0
0xeac3d06097fc94956fc1eee65d503ff9a739a7c6,1,0
0x70179b1f94072f480ba630082085b5470be73a1c,1,0
0x5b62469552ac8060a0f4df5fc1ea6da9285d031b,1,0
0x8ca02cf7b1d8b3c82202404fbe5ca5db9ca1688b,1,0
0xea4f9dd19f7482d8151933acba6b051d04fa2b47,1,0
0xa10faa01b53fdd3729448fe7afcb2148d2619162,1,0
0xece655801dbefc701b9828a82de407d9e1110207,1,0
0xee3b64210adb28638d5686c3ceef1b41416cf046,1,0
0x830b26103583fc8590c12fbcc89451ad8a5f65b0,1,0
0xe420345431c678d1bc123b919b49c58b377425f2,1,0
0x3c314265a8d0389fb5de666f29376ce51bb591d1,1,0
0xc21a5ee89d306353e065a6dd5779470de395dbac,1,0
0x625157014f943da8b8d08c2416daddca91795365,1,0
0xe33b681aae583e38e4e010f82598aa68b5cc332b,1,0
0x2decdd1345aec81519c5177167de4bebec72da3f,1,0
0xe536f150665a2a6317dfec926567ae190091a0b3,1,0
0x556e429cd4be8a9f1ab962b8748ba0ffe84aaee0,1,0
0x786e84d40db8cdcebbd751d1f377be8e8a3cdfda,1,0
0x7599f9fd6efc53d6cdb03dc6bcb3a6bbb77455a4,1,0
0xa228803941b7c585a1db10a07fed6f96f9397e3e,1,0
0x2a982eb8a29f6d521ac10946a505408a954b90f3,1,0
0x952597306987a54b20d70d629cf8b564108aa167,1,0
0x0574f40bd452db95b5b402b329687e60679042e0,1,0
0x513fe9740557ec4289edd03ec8e372ee0294bf91,1,0
0xcadc11f5a2576f46f3a9d87a8e39f9c72f5f8f37,1,0
0x63dc9ce8413b7c30a9dd25dc21b48f255e036dc2,1,0
0x07892e184a229bfc949f2db4f9d00c9c77b53afd,1,0
0xe53af7fd3c2629ff427adf9c870fbb0e961f989f,1,0
0x817a322d652ad609986c56eebd3375fb9f0462a2,1,0
0x4c855204c4eed411a03d20ace673d08837a8f5ee,1,0
0xfa17ed2d924c31f3913e9de3aaeda98fd45a0088,1,0
0xf674703f604bc6f5e97bf2e773bce4cc60f59da1,1,0
0x4ff4956bc0c5e6932683fef82600ef57cf6dbb48,1,0
0x8c57d1fab10d4b78f49ef5c6abaeb76a63710f61,1,0
0x354a71fae7bcff635fb86c3301237cde3516f9fa,1,0
0xbe6a5c5fa47aeafba9fd8dfe3f989cdc0f89de9f,1,0
0x3a42072900bcc3b7ff2e6db8f912e3fb0a277768,1,0
0x7ab0f85e2de9c89629adb874a5cf0ad33b3a6912,1,0
0x1598c1f14d4563d0f2a27d9c125e43e73bac3e55,1,0
0x51e2d61bb29bd800042f664b7f3619e4e279ae9d,1,0
0x6410a121f8c700dc517b46d87be08764932252de,1,0
0x71db4acb731236ba67482bee3268a80b9cff2943,1,0
0x4da7be9c4bb90573103a33a81c3a26328aa479ea,1,0
0x8c059fcc72e92cc682c81c12fc90ae43aee6be14,1,0
0x9b6e5967c89d05acf5e27e6f4b480c30b7239688,1,0
0x8910b201ffb27dda870a73f4518e2734204ce56a,1,0
0x762cd7597100e23c9a3f95b06534ed3920727eb1,1,0
0x8178cee2fd5caf00512a182cfb9b3afbcc7fb72c,1,0
0xaa581b78a2e8e249c52f5de6ab5770407fa34261,1,0
0x818f8f761aa9dce13b71f48719e80a8acf057090,1,0
0x722b58ea8ac61149858756fcce2dc19ebf0bc249,1,0
0xb6a5fed504df5c3a61b5bf83fb01e5eb1a7f3dbc,1,0
0xc593bb4333dac717aa202e5b9fe46a7679ecfa59,1,0
0xc62c84f1573aaefcd42b4fb8a4614e799bed0b7c,1,0
0x76836f5fcf65f2828eabd92fda36ad1211912140,1,0
0x47ea9e812f39bc26f95cbf1fc36230558492133d,1,0
0x8af8a14e68998c49cf083fb60a4b415afe05b04b,1,0
0xce2bfaa444b235a361e5805180aaaf93470c3886,1,0
0xe967023c02d7e8003b3c6f49c64b6e5740c4fe0f,1,0
0xe6cc5e3ebb07b5156ba3af510b8c6ca19804d88e,1,0
0xf7bba5d8c5595aaa4eb6ccea8e3509f4eefb31be,1,0
0xff31ef28c8d65fbd36a098e5d7f5b4bd6a9c3cf1,1,0
0xf4a40f5ed0941e42b7c79b99cdff5bc4d329d1bd,1,0
0xc1b1414e0d663efb312635107af706ea232b3e79,1,0
0xf5b1ae5b41bec4ac1b6485df24f972db899f600b,1,0
0x032b879c76fd42ba6ff93fb3548c0e33c36d0079,1,0
0x10364bc63464bd9cd6492e9a1c6de7bf91e60d38,1,0
0x74eccbd2526d0f0af6fbb9acba04bbfcbaedce86,1,0
0x1a7875d50c3e9b44fb5ba4a371530620054685b0,1,0
0x79bdda65c706cbda69c0ad4c8da1d3e91724f48d,1,0
0x068748648de1aff79f8045a3e0b74b6f227f5837,1,0
0x46ee93d9f084f3a212f528873d8d15757399c379,1,0
0xeb7cabee24c9d1d185a39edb7da6a8859059f647,1,0
0xef224f0a4fac6939841990248fffda665f95755c,1,0
0xeb35f05d5836062e40b17b43c13f7883f5c57ea0,1,0
0x6704284221179b58aebc7ff940d876b81de094c7,1,0
0xdf08aaa381631eb6463a014b9305c091c453525c,1,0
0xafeae88d8739a90a10a6ca2e7c6cb8e2afd4b74c,1,0
0x1e9494f3a4f07c80bddbd12d214ff10b6ab2a7dd,1,0
0xa1c76e639fda30506c3bd9fe8c8bbd7ef332defb,1,0
0x9a0f62b9a86187a03f4459d3130e9792eee8aeb9,1,0
0x69ac7188ecb2e00b50e6e408c877acaba2b9b848,1,0
0xffe6a865440967ad098a14eff7007aee8a947f32,1,0
0x086fff8fb816215bfa60efb21516b4e6385ba6fe,1,0
0x46710dcd3dd67de58df88ecd87b65c4bc1e420bd,1,0
0x487f9cffb6a1a71cf640126472005fb5565902fe,1,0
0x4a33fd5d091d0169f21f4231beb6bd7137ca3bcc,1,0
0x61d6d4008a680441d03ab1694a7b41e04ef3089f,1,0
0x6c28f443c491f941def2fd983f4ce044e1c52a29,1,0
0x2039a0ef493403299155429817cd637fca4e5753,1,0
0x89822e36b3703e10595e70d55821f9326cc9db74,1,0
0x9f336bed4ab428485e58aa6b814236262d99eb57,1,0
0xee119ab8ca22f2b9b3e7f508739f3ae68c838a94,1,0
0x25418cf6c4eea2689bdc85ba2a9ec30127ffecaf,1,0
0x1e538bc470e5bbba9cd56650ff905a04580d72ca,1,0
0x22fc6fb5d19dbee004c6b357a0d7264860f48a91,1,0
0x068eb1e5ff9bfa30ca41c75e22cd4774965f4db8,1,0
0xa2539a678bbb0a851ac12220e4eecc7a3bb30ffe,1,0
0x2e38b8b11a4dcb497f025cbc46f98121c5904df2,1,0
0x21c6b09b32872c05e9480e6f158d4d59610913af,1,0
0xdf83db275a43610b1a987e698250c1aeb57836c6,1,0
0xb1645da9e8ad34ef1a503289992f1d08127e941c,1,0
0xc67206d602717302beffd3bbc82fc43ecea58293,1,0
0x3e10553fff3a5ac28b9a7e7f4afafb4c1d6efc0b,1,0
0x23353efee82e56a1ecf6460e38d0ab260b43e73f,1,0
0xa46c30d1f4679a6517d65b9d8b2998add4d321e1,1,0
0x53869b88306eb505f0fc66dae482d42033f85253,1,0
0x23b7ac76707503a79accdc8e045b4cb9cf277a87,1,0
0x306edccc533b08628278a6afd60a628bb8b4ab0e,1,0
0xddaf19114d4de9281c50f4cca25b5c8d9a5bb4da,1,0
0x6454b32dcdd517eaa81a7fcf6a1905e750709e38,1,0
0x5a1d68934c56f5289997fbea876f879b1840cf94,1,0
0x55c8dd8185a66488f5a5470ca83283d9b4516564,1,0
0x2afeecfb5396a4c77bd577dc904d2f15c11542c5,1,0
0xd6946a5eee09fd167b9920d5647253ace122e9cb,1,0
0x8b773f2e3aa7f9d64cb93a95a0b42829d6bad7e3,1,0
0x01a1d2750b2c7aad954698c1e9596f5ccabdd265,1,0
0x93d7994bc070d63ab9bb181813f9273fe167d8e0,1,0
0xcbcace0fed0b7f220f851d179beb8b161646d2a3,1,0
0xca3c4a6eda25e2d1a32f5937716c2d31b15b84d2,1,0
0xe1856920f3e45b35d812afdfa37c2c0fbc30fbd3,1,0
