Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x505e438ef6cfcd0aa12bfcf0be7d6894eb23f862,1,0
0xb10afbd44ec1ed2a69fb2618899317b7a0632e6a,1,0
0x080f4c4ea2e3b236b617e337d8e3c2512e67c147,1,0
0x084a2f9e275d26489ff8409d1c42269f205d9132,1,0
0x6788ca74455f44bd71158e47acbc8b1071c2f180,1,0
0x89eb0cd109dff2dc324787c9e53f1f097591133d,1,0
0x01281780e82e2c4cf8673d549c7c4264a643aec8,1,0
0x4bc89bc87d699d5c19b388e7dbf0869353c7a99d,1,0
0x4bdb5a7edf77d71f03cf979320f648a91f6207bb,1,0
0x4c039c53531a6bf1e1a6a804aae0b15fe1bcfe6d,1,0
0x930dbdbc4fd5a0e9c7f761d06e55bdcddbfb8983,1,0
0x4e438b72677004464f01c6bffec46b86617b274a,1,0
0x4ed936be9f8956577f383bd60aeb0337f1c60974,1,0
0xbc85d2fdc5f46bd2ebd14d15e3105b16944fe405,1,0
0x73dc5a0516d3683da934e5fb20869dfe542ecc20,1,0
0x74fb5d9dc484f23d115989b644957662c104c946,1,0
0x419678ad7af4e23ee5806e39eda55c86d2a8b005,1,0
0x4e6917402bfa68be2f8ae1818f33d1906481629f,1,0
0x00b30bef19b9b8c587fb92f1b7f93e4a30e65c71,1,0
0xb5d43b574d545d3f5799006cd0c27b4cdc4babc3,1,0
0xbe2d985bbe6cac1fd59d1d2edaf056929f7fbca5,1,0
0x1ffc958bc75d6a7d7fc673f8de6bc3a580d1522e,1,0
0x8ce1b83028c9111c2797ce30fe434472e189bbd9,1,0
0x0de12e78f5db8ba5c79183d9d49bd3cae95c2c31,1,0
0x550c41a753e326f33d5deb278c27589fc68c8d71,1,0
0x3ceb234a88d2aef6648ec7ec3d94337228fbf513,1,0
0x704e814ebe80327cf6af5fe41a98ade0e176f60b,1,0
0x952387813396fa7b81003a69bb05a4967b1861e8,1,0
0x789fa5cb1edab78b5cb80e5b654af5919bbea6d6,1,0
0x986935a1cd8cbbc3b4e961570d72a6d2109197d9,1,0
0x4a3e4579b109b4d291b24e575629cdea311072fd,1,0
0x736efdc343878139d27a3c6730e75048d7ac89b6,1,0
0x98e5007d974b4eb665cd4b06a2a1885cc34f929a,1,0
0x9dde2e1b2d305dc2ee660ad099e338b496fef65c,1,0
0x3c663b6fe4c1df33ec57112a544a0aa3f7b2de4b,1,0
0x140da86029940fc01451ca4df52853d94a7ddc7b,1,0
0x603fbf99674b8ed3305eb6ea5f3491f634a402a6,1,0
0x4a05bd2149b817d4ab31e99a1d487997fbc367d4,1,0
0x9e0e1d072edd86f78f4f963b2b5a929de9b4438f,1,0
0x769ea8896e19958e6f2b6fc79f51b0caf88c0166,1,0
0x601682d185b0711d4eac00c63427e5f51d2b0e77,1,0
0x0e674245f1bbb66e936834a7a768edff01eebb3b,1,0
0x7d0ccff1e94a0e0b0ed0a9c744064db42af65f20,1,0
0x25d32f0b5b13a632682e70ce8bb5dc60bb870828,1,0
0x83bce9205b1c53813f5844ffe349140a1aaaadf9,1,0
0x3fb9aa87cc705480d75ca8a5ec64d825ed0c2c03,1,0
0xc49c3357e2dd55190aa79d64d696b48d763d0954,1,0
0x44672258ec4556ba5b45b208ad959593ff33853a,1,0
0x85d0d7c18331c0711cda57d79b03067d12880dd0,1,0
0xc4e607f03d80094697d9f1ab07471a0b6c5b6af3,1,0
0x6711383c47a5a1be1aa716b931eaa44f74bdd045,1,0
0xae829175ac54a894c80e2b470f2185c7eaf7f44f,1,0
0xc788c088d1ac73d4e61cb0a379a72abb80451633,1,0
0xd67b2bb7f8e55422dbe72d8e681d358e3a1c3335,1,0
0x65a4b717d9950cc364aa37a89a78c2bef3559200,1,0
0x4b01a4dae67a9d8c6391da462f4fdf40059c6a81,1,0
0x5501836875b62c96940147d5f7581d64d380f54b,1,0
0x4f951976cd885a33b07b788c466a9800b6c39d71,1,0
0x3a84cd2728ddec25c06328672d5bb864426592a0,1,0
0x4d0ae06162fcdc0fedc0d296d180a0f16499eff4,1,0
0x4d2dd9fac65dda3307a10ae0e887d5e0b87e6e86,1,0
0x834ba0251ce1d6604a39c698a3bea27b40dea549,1,0
0x501bab18998f7aebcc93d223094b2ebccdee438e,1,0
0x43c0a576b12b56d372104de8d875c54b2ff98222,1,0
0x4fd12d0a88cbfb6cd2edffb407525bde2f0f84e3,1,0
0x52aa30acab6b64aeb822e51bf761fb1247f4e137,1,0
0x5912593ab5d0c72e8bef7c34e45b5f1919270ad6,1,0
0x0183e4315e88887364099a4c28b48e00dd83669f,1,0
0x037dfffee05573c8f1f8b5b051ee1ce9c737acea,1,0
0x5d137fcc80aea64acbf67fe729ef8dc29614543d,1,0
0xc5304b3bdf9af7085c2aed77b0442c7f34d13d23,1,0
0x5f84093825cc3318ee5b6644214c1e46923fb5a4,1,0
0x5e71e72915d7ed90fe1770052fd61ca9dfe8ef70,1,0
0xc75f2a6099d233516da85f5ae84ccb42e4d94334,1,0
0x633f5af7f48bf98353d2acd917f7791742135f0d,1,0
0x091f7cbeb27975145d1b984489a637df45a58c7f,1,0
0x5fd17cae0c05e57355e4239bea56f9bc95ffffd8,1,0
0x65a2c7f86952568cec5a739dad9f8c08ec9e46ae,1,0
0x61b83ed8bd1576bffc218b625953d0c20e82dd07,1,0
0x61b99befc1fae0d593635fd228d71c90de710e35,1,0
0x674c0465c37e85c95289993dac3561dbd2a4a63d,1,0
0x0969a1b04e4e3abef808231d9da1d1aad3a453a7,1,0
0x69a6a0a5f7f2373b5ab43d3f3838249410d27842,1,0
0x6b8b7c671c2f5b9cd2145d6d43c2e839714f72ee,1,0
0xc8018ba72ee4c1759dde7e3bf6a86f1444268e04,1,0
0x0e0f99b2afe0379a5e0d138287079b6e5e75a071,1,0
0xba85c08053977ea399ba2c641ea19977242aa4e2,1,0
0x0db5a10811ad5f7786f852a78f594f262c682a1a,1,0
0xb92e3e4790925d8a7b48070aff556af2b26392c2,1,0
0xd8a6d369f12f43349342eb495de9baaab0b15355,1,0
0x1b0b4115ef0217f4d71b9450085e284d87e9b0b9,1,0
0xca8bc968db83a894d47154d731eb6972881e21ab,1,0
0x26090b24aac6921ddba196334098898258c507af,1,0
0x26118206f636c7859a42174ecb095695813d40cd,1,0
0x1ead9a002e9fc029e1dcf2d7ed8bf667ce21b00a,1,0
0xd570be36006372e526c52397f81f8a14b0f575b2,1,0
0x26893d40c2059607f3dedd9a492082e6eb4dfc62,1,0
0xd9d50dc43de09ad246513f5b2bfdef56acff5846,1,0
0x25ead543bce838a09088923c55533d0aaa18054e,1,0
0xcb7e0f2d20c8a719df24533692ad9b37f6e238ab,1,0
0xd9833bf015d7636ebe926a010d0f616e208a748a,1,0
0x230381119ed23acc0f650c5dde316bec554596eb,1,0
0x25859c5c2cd0f999e205c0c5467ddf4804488bf4,1,0
0x25bc9c8a280e7deb6682527492fb2d6ce0eacf85,1,0
0x266cee4329cc0e13ffbfc703decaab3b8e3fbff3,1,0
0x26785d3e95154110d58790410d6b188c8c6ed949,1,0
0x267bc76cf0507b5852d177cc481459b0d96b7aab,1,0
0x259368010fe6c620970dcdc7d89562a8b6b56dec,1,0
0x26841e1aeca8189eebfea8cf45ed38813e2ecfc1,1,0
0x25f2d87422e6648a56069bb48f5c908350599649,1,0
0x25fbd1e064c42c4d560ea400aa8a0a8007306ce0,1,0
0x2602a96dc9f0c6672e28006172befd1a46db5210,1,0
0x2603975b86368ea98606404caf753f5267719197,1,0
0x261d37f8bec67a54da6416eda608c7b63cecbd48,1,0
0x5414491d2b5a8c559e50a2807452a265ecbc65dd,1,0
0x2746241c754e0f227a816a96dc5cc57b25cbfd31,1,0
0x0d793f5e66e0a7df1bbd1957a900909a669f88c7,1,0
0x2c99ad8080d73ffd17f24ab0a4917c1d8974f60c,1,0
0x2d0197c9a4b2a02a854df30e9f841e708f32d96a,1,0
0x2d02907d3325dae451da6269f5164824655983a4,1,0
0x83f7928f27b581b88063821cd819abd000b030f4,1,0
0x1deaa3646a223391baf93ac96d761324cc90407f,1,0
0x4a96f8cedcab71f9c8cb592cbd349830c6ee40a5,1,0
