Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x830b26103583fc8590c12fbcc89451ad8a5f65b0,1,0
0x625157014f943da8b8d08c2416daddca91795365,1,0
0x7f9c99d68ea60c59b6b852ae4cc58015da13160f,1,0
0x8a1113023472f8b4b3af3bc317eb19a5a115fc4c,1,0
0x31a4b516e7b12caf87311aa67e1f3d2162e26cf2,1,0
0x1927c3956108ce4887f03aac770df22f3838795b,1,0
0xe46cd302b163cf6e03c4bf1ae2059c65f97987de,1,0
0xe32573a64bc5ff42fd3d3a64b9e51df49715c881,1,0
0x22df8f85ad9850151582f89e37237bf0517f87dd,1,0
0x12cf80717efa9749c725196558d73e020b654db7,1,0
0xd7f3fb19870e17ec29909d9bef94b76a3d3eb30d,1,0
0x773a48228a236cc42e097ab82f3bee3ed42e553d,1,0
0x2b70891209cc41aa3bb608c3f9c3d64c2d284269,1,0
0x5f1b654bec9f996b3b0eebf8d22fd77751b99210,1,0
0x596b5201b3da8973cacbe78a0399b998ff675dc3,1,0
0x52b1ff9d3f19eacb32181b0e4c5bfc7c10d2ad6b,1,0
0x4b878044667feda542998dbd8690b74dc5556154,1,0
0xac11596f6b35b4dcd22975a7d9048a0f21d4a2ed,1,0
0xe6cc5e3ebb07b5156ba3af510b8c6ca19804d88e,1,0
0x6d365bdeef00d656b19b943ea63bce29583dd0d2,1,0
0x6c9d56671a152a9b310f808b88f522f01a223754,1,0
0x7e8d97755b176349a3da82107b2339fb95049905,1,0
0xab5495a999e608fadc1fc99daf46eb81235515d8,1,0
0xf300e080b2b98e110c096a3c9fdb9825f2c4bf25,1,0
0xa432291b8b93930b5f842f523316e0d0a3e98f75,1,0
0x145af34ac52b19a7a2a1d7b3ddd6810ce7576d9b,1,0
0x3347d8bd35bacdb574b0c6f211efe15a2fafffcf,1,0
0x722b58ea8ac61149858756fcce2dc19ebf0bc249,1,0
0xcbcace0fed0b7f220f851d179beb8b161646d2a3,1,0
0x893edc0cd487220fbdca57bc49e506475683b81e,1,0
0xc593bb4333dac717aa202e5b9fe46a7679ecfa59,1,0
0x2039a0ef493403299155429817cd637fca4e5753,1,0
0xf36ccab924910bfceddce38377ca9e764b86c272,1,0
0xb2d95951a91171aa0f3de3a719d0840cd9933622,1,0
0x635071a5921c7858fd3d72de4e2db3496bf092f9,1,0
0x37403db50e79631838cebe89a62fe2b34c31c184,1,0
0x8b773f2e3aa7f9d64cb93a95a0b42829d6bad7e3,1,0
0x23353efee82e56a1ecf6460e38d0ab260b43e73f,1,0
0xb62c0fd71d304074923e035a85f03fbe42d617a5,1,0
0x0cdeb6e372527f6926b2f3ab846b6e4cd6de8090,1,0
0x51e2d61bb29bd800042f664b7f3619e4e279ae9d,1,0
0x00b9228eb19a13c6a943b350916dd2aa7f182c21,1,0
0xf1a766dcbc01e8fcbac053143b59c7d47e8369d4,1,0
0x0b807c9f5df9471ac46f2773cbd6ded18069e6c5,1,0
0xadf062219c669dc67b650215480242528388de4a,1,0
0x9d911ed974fe8e28233a8e39e199b016b47625fe,1,0
0x3573f71c5604e038d3da3d8ec8c1a611ea56649a,1,0
0x3b22ac2739a20f2511f21f06ee6e013f690fbd0e,1,0
0x91841c28da9d90537da49d8e25a83e64d579cc73,1,0
0x447154dd6f956ce7143c686542ec1318769d566d,1,0
0x8ad8e55a7834f90a37ab3cab9144c8e5e89d0878,1,0
0xe64457d315ae942259fc62e51f3768fb3ab3ad75,1,0
0x649890078da0f9219d73c35d648699252451c627,1,0
0xd21aeb00d9501ce0ea2fd442bcf3cd8ddb6de7be,1,0
0x7f9b04fd81cdce9497cdc2302933e65f42d92f28,1,0
0xe2ad14f95a07652c8113719334c5e244343cd7bd,1,0
0x35226e78809a5dae4562b0b1fc4cf96cdb6a01a8,1,0
0xbe2a5befd8748d9c5e96aa033d570d04df72fbf6,1,0
0xcbc924183bc32d02746fa8d38843b5ce08662eb4,1,0
0x63dc9ce8413b7c30a9dd25dc21b48f255e036dc2,1,0
0xffe6a865440967ad098a14eff7007aee8a947f32,1,0
0xe1b3795d65bc57c5b65819ea23a04b3dd70f4491,1,0
0xe93b82f20a3e3c408873c609490298f30606f439,1,0
0x5a8bf7fdc5be87012203233845dfe208e337529d,1,0
0xd077bbdeffb4a3f39bf7a78ab2f50ecba9596b95,1,0
0xc17a4427bc7cc19adbd8172349a608570575d39f,1,0
0x26ac24fc7722dea3996296e5437e9dae398806ab,1,0
0x2223ac80382edea674c1378237b799d0610de55a,1,0
0xef125e49fb1a1bc5f8025b364ca5486368ff87a9,1,0
0x1bdd2a02a33c70f7e1672b83652f0e5fc1e5eafc,1,0
0x22e02f425620b33c4179fbdd0a3077fc9011d82c,1,0
0x36b09f4d1b837ad470f396a9066c860e1e17ee68,1,0
0xa46c30d1f4679a6517d65b9d8b2998add4d321e1,1,0
0x6be2eeac7f28665ae9f705bb525abfea890788d5,1,0
0x911a205528c54d8b0358d4b3b587ee23f9443a73,1,0
0x092c35d08a994c2416f716f837b966faf859da1d,1,0
0xea7ced71d6c91bea15860e9d83c5e850864e4433,1,0
0x1d6b98b054f70dc81a856dd54b7ffeb12b755585,1,0
0x36c247c0dcd07e14af73e56acc326901720cabb4,1,0
0xf6b9e9970258005755879acc67644274538913d5,1,0
0xf70107f232d1d0ec2ef78cf938b7961655429df7,1,0
0x4bcaa6d6d8334f84520eea2db79f1a6b0522e302,1,0
0xfa566392477d8d842a0e9389029f05d090970b1a,1,0
0x70b3eb071b028c6eb95ef9643a6ecd3eaa823a10,1,0
0x54e5c66601b8e9386f0d74b4bd2932a3cfcdc833,1,0
0x557cee07243d4e188535c857f20324baae270e3e,1,0
0x9e73d79c55dedc3687ff3e271f0dcfe1fa05ef67,1,0
0xe3cc107321ab70cbd43cb2da37ea4e46755c43cb,1,0
0x69ac7188ecb2e00b50e6e408c877acaba2b9b848,1,0
0xc2e5cc4af6ff40d74b6d94f0109da0e21a7744c1,1,0
0x2988d030b060ec8c226eebad66682e5b0c717424,1,0
0xba95b4a5b130c4c1d27dc9e8adcf7f087cdb4c52,1,0
0xfac219be81d0236e4167163111298934b53a6d95,1,0
0x9516e80ba79b97d5085ea4553df9e35022b1a656,1,0
0x7982eb931808561596a121b9e379cd81af05fd8b,1,0
0xb5e64c26ac0c85a2853603711254d6ec51a1b1b0,1,0
0xc33f87697ef41e0e95e7a55d1ec8180f04088578,1,0
0xddaf19114d4de9281c50f4cca25b5c8d9a5bb4da,1,0
0xe4e75d7df7fe0cfdfac5fa0c1e4eb184d5ef614c,1,0
0x64fbba30fe50afd4099ae09559c4094f4d50273c,1,0
0xd70833f39948862234d977771b8e6eaea26a881c,1,0
0x6fecee89e588812da36af94142168ecfe882c792,1,0
0xf129ebb070eaaca17b7399b3a83ad34aefd0e3d2,1,0
0xc22c8fcb98a4cf3ab22cb8f246991b81f97c4875,1,0
0xb730b4279a80fdec6d0c888d09409f1e40ebf10c,1,0
0xcad84188522db9fb6b6565103b098df1b847bd4e,1,0
0xd51a2a768157e73f58c0ebe8f98c9619b4962e5f,1,0
0x81033a7b79eb2b6b177e3b9d15c645611c8f9d5c,1,0
0xd9ef6aff734e6d779b0a3bddcb0049f3afe1957e,1,0
0x469dbe959122c5405b10aebd0f6233a06f132465,1,0
0x761622bfbef37d6d1536d8b2505d84714a5c7f97,1,0
0x10061123876ceea12642342afe829444b7e0d48a,1,0
0x679f6d19dd99733bbb3e83108dfd10ebc9fbe972,1,0
0x4d396974c5813159c704e96acdada21eb01005ed,1,0
0x5d0a4b19371f18d98d8ae135655ea8e12d7827e2,1,0
0xcaa5ae7e483b887b5a304bbfc22778a8a672fa78,1,0
0x7e613f4e09a52ad3e50a914c4da25fdc8f07d2fa,1,0
0xca6868f11a099295fe7f3bdd705d2d7a1c2214b7,1,0
0xd1232cdddab7ab3af6ec63fa5883f7b3ad7c6fbb,1,0
0xed1e122d1bc9a165f0bb3dc55f8081ea0d3a96de,1,0
0x97d9524355953bf99851c3641b970374ea3e38da,1,0
0x478ba3db8d46e6b912203a2385eaae7418bf2c26,1,0
0x4d4ac65513fee380c596ac9edfac588782831bdf,1,0
0xf909d70f3ba098a51249e91063af56c2eaba7df9,1,0
0x03b6d486e3b9c0ca35761e968deb14cd627ea821,1,0
0x0a153c944b9c7727c16de5345f71ca40073fc102,1,0
0x6eb1fa87a3db7c649481ae13795a417a7ba80fc2,1,0
0xa7f053d0a4df46577428b84fb3a59e98775ee698,1,0
0x00a2923e2de2e77402b845b250fae9123b2b4ab9,1,0
0xa417100ddcd35787e6c0598e63db45ef5ecca567,1,0
0xf9ab14db9143c92123384bdaf2ebf5f1ffe3c3bb,1,0
0xa43867a72cbba85af92a5d171403a8858d29cefd,1,0
0x6447618618c692a814d72556ebc998875d604fd4,1,0
0xd2557f6eb5559ab39180c8f76b59b33a5401eb00,1,0
0xa47dcc127bd2487b01477d8e381dced5de5e5033,1,0
0x6e22706d6e86c38f4bad40415b1b4c76f5b821b0,1,0
0xb6252932f5a39d50bcedfe3bbb0f7e114d387ee8,1,0
0x50dba6df01bc08b6b665c5925c7e614c8f311701,1,0
0xd9a0a16e5a634bf5a02962b667f17c65bae14086,1,0
0x1583ace730bf0208708692dafe6bb09a27e17fad,1,0
0x8b961a604d1d06264431d2807d40db880d47905d,1,0
0x13defce8be050f902f8ee06cb7f0e743e3e8b705,1,0
0x4802a5efa154763dc5f4fd371dd7350948d1d6be,1,0
