Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0xb869cc2aff5e04939a5795768389f8af6130f04f,1,0
0xa9e5a715dc8cf924128cacf0c11dd3c2dc080954,1,0
0x6aaae765d59ff6865d159035a2cb73f9e1f51a66,1,0
0x6b939b141ff6faa8559561906754b0e9007b59fc,1,0
0x8cb55fcedc8264a0431f3b954560ebdda86febd4,1,0
0xcaa6fa7d6edb68eccd07f81910b7bcfefc14e87a,1,0
0xa99282593db19a0fbe2fc0f17abb47c24979f385,1,0
0xaacb54b0e3e9d8f0b834894e7eead62156b6d148,1,0
0xe7bba4965637f46960e3f196bddf75258d5b8fcc,1,0
0x49cfe09dc40a2db80342e7da5905615a353c6208,1,0
0x5b9d4a0e1b169242f8762c3603c795b45af128cf,1,0
0x1c645730fb84b35194017606138851f25f887c26,1,0
0xc695c5f9e5d01a2aecbf637bc8c3f85f467f4b1a,1,0
0x5bc2eb5a9fffe226ce3b50cab101e88c4e8f14fd,1,0
0x646a1c20208881e2647397c153285d1726afbb72,1,0
0x079fe0514ca783ae560f508fa6539efc6ac46322,1,0
0x004ea9f807ff05c6628c176c885ed8b18a898eb8,1,0
0xfd5bc91f691ec6aafa609816f8da189c8bd18a00,1,0
0xd2df8549b025e98948a296dd7a9f4e8d3e2bfafd,1,0
0xae2f172ff55cf5696b6ed6f033523a9b9407e887,1,0
0xae2a8f7b87e822e526691d75df62b1813430ebf9,1,0
0xec17cf18c84ef4e62bfdbb076d21a7497ba96e2d,1,0
0xaf4cc33a0c71c40f016dbec66a27a4137fb30133,1,0
0x55f9061aaf7af133ee7ce09331cfd6ad713c512e,1,0
0xaef4cc0b261c09f0062b8d71d218330049c46888,1,0
0xc702dfca5558daabf7f1a4358b42f153a62fb2e9,1,0
0xcbfd35d10251a843424ffafc6baa1c1ec2847228,1,0
0xe58939f9b525497b805059ddd4b4856c7ef06da0,1,0
0xcc0aedbed83cd32c1fc2df9a1d01c1fe189a882d,1,0
0xe447dbf632ece1398c7f3c6c5c47fe09c953cb98,1,0
0xe44399a96a959bba2a9fbd2797efa384c4655547,1,0
0xe4e65e4d1028139fe756c69095ad90ce49177d59,1,0
0xf70c9314337c3a2c40fed5bd5aa1b1c97a4ba4a7,1,0
0xf51de770be61317f6190b66399734912d0fd4c11,1,0
0x9cc69a8403f509b15b2f094873641969fd32eea9,1,0
0xe45270bf09dedaf363b7b210347a4a0ce1f2087d,1,0
0x1e8003639b1026e6b6c701e9b14b2325f3bf3893,1,0
0xe1e4f7c359122a1a6f4f7c548cea8908cd0536ce,1,0
0x53fd12f4f91846cb0a11c92a33b6980637feaf04,1,0
0xea79114196c7ea880114446d6cded0ab988eea56,1,0
0x05741158e26ed559f0916855c2e8d2c2ec48bd04,1,0
0x2a21e4d5f4f4cccf997ff59ba32d1fc212a65e16,1,0
0xe183a09135303eff3e8a3b66e2148197630aa80e,1,0
0xeeef142a5322a382e896ccb4554bcaf281f740c6,1,0
0xee9217ac497af58eed44dfd190bc492f8dcfa324,1,0
0xeca36daade946b8aad5d1a210587e38bc80817cb,1,0
0xca94affb427305e192a40341c7de0e28e6e84e8a,1,0
0xe100b3eab8200c02ffd4089dd565371ff3c2910c,1,0
0xcc4e9fbb28a14f901df514f564382aebfcdac667,1,0
0xe15d8a84ae451ae751a84ee4b5adffdd535dfc77,1,0
0xb3f0ba61369c230e61ebfa443e138f0b6a751915,1,0
0xebe9a6c2dba94904d20285609a43bb1ed65fb0e5,1,0
0x21274564a2cb4dd06d25415af4b356318f481009,1,0
0xcc8d43d42ae7d92064fed4f382d506224a110017,1,0
0x576da163f3bb6df6f9e12051f03f2ce643b0ae17,1,0
0xad2bb25539d04b80f5bc54218e75b9df419d396a,1,0
0x4f72a60126b435a4e578bec294b1f72a0cb243e2,1,0
0xd995d0c31802a8d95c163f875ffefb40ab964ed6,1,0
0xb46c38b2c7cdfae6311af06fc8c444a3faaf8132,1,0
0xda04862735138ff7d963ebe1f0ada67ebc38d6b4,1,0
0xe84630edc42d6abdb2969577eb4f0a4375a7b297,1,0
0xcc564951286ebaf021a4df8249b863bc339edfe5,1,0
0xd7b2e82c330d0f479077b8bcd9aaf52fa9299bd8,1,0
0xcd56ed1eea0ddc8a4d3c8680f51adf5b5ec455d4,1,0
