Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0xf1be1affac3dbc76abeff0feabf5652144239f63,1,0
0xbcac78fa3aa7e22741b86968ca25ed2832a217cd,1,0
0x511adc275852fcb71daf58cbb4e895a081c0c737,1,0
0x7b0668142c80d648e5bfb0a7cf9eba654f7ef852,1,0
0xf12bd23f179435169c4bfcce7da2a39f229ce9f0,1,0
0xda42f31a7615cf79601a44d702cf1f5656557f67,1,0
0x17a1ebec5abe1fc794d5f55562dcc217ad35f356,1,0
0x0db63fec90c224511ed9b0c5f12bc7f2a15192f5,1,0
0x04412b403a4b6d2f00d8bf93f1e6a5bcdd80d560,1,0
0xdcb0aa0b4807c0ad43fe1ba4bcec8c23818f2144,1,0
0x0cca90a4ba750fc7f970019df3e1e01c8f2ccd4e,1,0
0x7f9b04fd81cdce9497cdc2302933e65f42d92f28,1,0
0x2d9229cd8cc7e0e069bc4dc3a26f6dd91c2565be,1,0
0xdf6e77ff940d24e862a59a5f76fc483a432e97b0,1,0
0xc586eb9256c90ed60deb5730ed2bedc0b49dc7a4,1,0
0x382fbd06b103f8adf2ca3d402efbe18f214313d0,1,0
0x34638e7d59c772bfe6cc5557426759f6903d1961,1,0
0x9825cabba6947ac28d7940e42e557c95eeb3990d,1,0
0x85fb135b09be6b9f57b63cf1a3ca2b54ff1fc810,1,0
0xa417100ddcd35787e6c0598e63db45ef5ecca567,1,0
0xa406a8384f729c9c2c882b64feca4aca82c891d4,1,0
0x465c63680f2a0b4277d9b4cecc3f3310e531a77f,1,0
0x99fcc4925b74c6db93e5b92a72aabde0cce58f6b,1,0
0xb1e87889b4bde8737c561810121bc8a12a36c153,1,0
0xd7642183d7d6a091d1cda1928aea579a9b0e2dd0,1,0
0x91873da1097fbf2e404855e78bdfe38ddfc2d292,1,0
0xd7e01f0403776e3cff89364fbb4fae462329094a,1,0
0x5ebe53bb18750b436188c714278d63321663f968,1,0
0x3da07eaf80592ad283110dd2233ffec967818307,1,0
0x57ce7e454686dd1b3b3f1812a908b74c33824756,1,0
0x040d041a3b148dfdbf272b68e6530ddbcea65958,1,0
0x22e02f425620b33c4179fbdd0a3077fc9011d82c,1,0
0x239fc291f12a173ebc533087e11c95428c548ccd,1,0
0x413f7df975a16069cd223c25d47d781fc6d8e21e,1,0
0xfda93f3f3b01a317165e38eda79c4d22950c1716,1,0
0xe550ff4c89712409f9d70d0a5cc434a145237881,1,0
0x91f684d70ced2d9789b1aa89f996b55eaf05ee8a,1,0
0x5444eacc3d709ed09bcf6d8621453d8951368b5c,1,0
