Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0xcf60fe7801f61a807471a0766ea00baf84ca0f06,1,0
0xbbcf0b0d6001985db82870a3415756e07d24e8aa,1,0
0x4a7e9a1762c33cb234ea6c28b827f7fa94c196b2,1,0
0x29b9450272dc17d395a6c8582333f8617ea27f97,1,0
0x29615ac52d09b6bd5e34324dbba76450f5be27d8,1,0
0x4e922306db724e3f02a08d720cc99d55b08f4525,1,0
0x41e93872be703ce037bc1439d881d163cd1ee0d3,1,0
0xba96201cea4eb22ce6c274340fbe5537369e6833,1,0
0x526edc997e56cc4dcdbde7940b5277a6689fe606,1,0
0x19869416e1d7c19e636c11b942d1dd729f7b23ee,1,0
0x3f8473400a9d1949ced5b355a86571e98415acbb,1,0
0x295ef3e840e004ca24787b17185a49544a620711,1,0
0xbe0ca3a4e51d96feeceba7edc6752411cbd3e0aa,1,0
0xea78ec88d7897441ffacb245ced75bb736d0c642,1,0
0x69c50adeee2e29ccc8b027ab249816070c013ce3,1,0
0x954f1c5255b45bff51cfa5bc15cd0e3d33d2ce94,1,0
0x96c640214bfdbdb589900a44674daa99cd65a351,1,0
0x60cffc72e0116d1578fcbfac1505fde121cd1d21,1,0
0xce788076e72ce5225914bc13d429c2f0f6245fbf,1,0
0xe4127a1de3b9c19624f7aea81145cafab3d4feec,1,0
0x6a4ee677c6c03c0e7d8b2da7381b47bfb1bb4265,1,0
0x9c12d8b05896707daceb362a6d053e0de30f27cd,1,0
0x1373751b8a8eb8cdcef9708e92a7617af7aacc61,1,0
0x1fa14c5b38e7cd202418545a4f84b24711e553f3,1,0
0xaebaab8bfb0a567a823a93036ea5a907d5cb2786,1,0
0xdd61e17bdab1388312cf8a784e23028ffc8a7db1,1,0
0x9f81311af8d9fa648a4c4d9caa1888e68e2d88b2,1,0
0xfeebda15eeed014aab295ec026258f0a9bc4e567,1,0
0x3bd7adbc929e0032655b81af8518a2bcc2cf5742,1,0
0x3bd9b6d1309fec7fc18bbb94562c2b65016b78be,1,0
0x9a315481df1a401b9731a7b6788027adcf2a53a4,1,0
0x4045f69b190e1b035b2e5295b955d416033beeac,1,0
0x7321aebe394e7d186e9d86fc8ac704e79dc4864c,1,0
0xa1a3cd613f97af62f795771e57e6bd29c02bce47,1,0
0xa998523822af2a27726f4d32fbdd8fb9ceda166a,1,0
0xbe21ba7fd8c7865e583e1eb53c67891addfd5808,1,0
0xc552ddcaa790f102e226a9d64a227936541ad145,1,0
0xe198c70d63b822f48043d0a405dda83d1f762cd9,1,0
0xe591a7b47278189ad67391e70b6a2801eaa133b8,1,0
0x1189ba4840b9a1752169a4e85017fe273ccf029f,1,0
0x25140bad6fef274fd8f593ee1e26b4e3e392bef2,1,0
0x3fba741149a5842eb79866559c7d5ba2080693aa,1,0
0x73e4b55076cecfe6ae1354b62b8866a6833b3eef,1,0
0x52f4407285f828705745649c89162a8b7ef76a18,1,0
0x7743ec1e334bddc7433cf2dc8f8e923b89dfa167,1,0
0x911940bde14626eb028cda4e177533393b77ef86,1,0
0x9a9087bf048c937163bb27fa8f09eceb9bdf4859,1,0
0xea4cb80f14340f04bbee88740b2c7a89a2ab101d,1,0
0xe774b735ad8d3b04a41b4dbe269ba3beed191052,1,0
0xddaaabcfaa52856eef015bfdea6ef60155d5e548,1,0
0xe2025e1533579e7af1663ed598e402dbb96a91bb,1,0
0xbc4711d2356fe5a11db6354250fb897f656efd7b,1,0
0x00e2c52c4e7939a532045cd642d34d97cbeef6c7,1,0
0x01cf8b16472563913115a26861356b1e61c30181,1,0
0x0e599fca7306117361c2f25f6024971b9229f655,1,0
0x2d79752daf73a7de2b8212e8ba07f4c7b1738d78,1,0
0x61724a1920823565b7eb49b4d56827a28159da5a,1,0
0x667865c6465132841743534d6982e621ea4d4f3e,1,0
0x248d9b182be3cea67f50a913c30ff7399ebb73f5,1,0
0x2d6c9c469d5cbc1567c586b0608ea7c18b9eacca,1,0
0xbbb77fd4193e645e02d6d452b94a12142663bf4e,1,0
0xbc8088b0239174a2d7586750521c5c3129b2ef47,1,0
0x39f4be06c0c49783d0d3cdcc3a15d23f8294991b,1,0
0x5e1d09555186652de1e102db32aa6d7b2bf1f23f,1,0
0xe84afcd0786ad5fbec59c3beb010cf1ae4dd9bfb,1,0
0xa4c1cf4885d38f3b02836df7a2b5a70350ebf9c1,1,0
0x0130b5d1a32ddc149b48efcdb0bbd701e1119314,1,0
0x401cf15c7d41fba6f8d81dea4fce4bb075f5542a,1,0
0x773874e68e2bb9cb59577631abaa9c9f1bad8484,1,0
0x462f055796ee62f705e17828f70c65f6721927db,1,0
0x4dabd3f1fb30613c3823a94caef05533be151d20,1,0
0xf65cb6d5dccd14c12b0a4bff6b4b94a787362681,1,0
0x8964ed30562d88a84bac836e28465172f1884eba,1,0
0xbd0f43868181d1c399fc7405fbc46725b2f7ab17,1,0
