Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x8f418a1f426210c612b1b293ffc937bd10d7e56a,1,0
0xbe7ee8601919768421c8c20ef3c58f34cf32a945,1,0
0x07184ab6b2d65d30b5536f055df20636d71b322b,1,0
0x9613b86c79c494ce01f1195c8e71db926c32ad6c,1,0
0x19ebf51c772d4b18dd40dfbe8e3b66cfe121023e,1,0
0x3882bb635ae23b5b5278a0abba4c58951cd62405,1,0
0x5cc96cb15f787e6a74d39bd588789ec7ce24f01d,1,0
0x23cbd81268e08ae369107d750fa4c1788e1e058b,1,0
0x5cdeb90a2e41047de947fc5d9765d1b9316e4abd,1,0
0x469a64fc92c00b9abb77368622ade494257452ad,1,0
0xbbe2316bfa53eaafe19028e6f3b2992347036bce,1,0
0x70ac9bd9ef3c3d5308685561d2316ad1896b0006,1,0
0x0a4251a716fbc5d92d3a07efd38c82f07fdaf696,1,0
0x0722234fbebcfd6c8ab9fb37a3ed247e0a7275c6,1,0
0x9ccdea4ba56e04f7ebe95831fcebf9f717c7fc7e,1,0
0x95686a695490aa488d3bf0c057b748604a1abcc6,1,0
0x24021a007f7273c57575db2d46a63a4c846f3641,1,0
0xeafe181e696060650db52840249ba1d893b9270f,1,0
0x6fe49ac54f6a1f37c728419d3f4dbf0906e104a6,1,0
0xe6de83701269ff00c87dc6eb6544e263dc9f3e11,1,0
0x2781b764f051a3f9b9b82f46cea364034d46172f,1,0
0x627b2c058bd29819f742cb167e16770704ae4a80,1,0
0x05790ed5045266591e8b1f254e236ed2c83f29e0,1,0
0xeb28de0c0649becc1c7ac47255c9eaa80cca11d6,1,0
0x4be5620c3b2c80749da5304b031bf9501b12c4d7,1,0
0xac812add26634e5e32976226a35030feac78be1e,1,0
0xed1cb7309894b86fd8bc7a602e27635977429a03,1,0
0x79d03409c179b127b1dc578647aad8f87b75c2cd,1,0
0x3a14ca46c6c1a5cd3917e016bbe8373263deb0da,1,0
0x7b433c30c4bd3b1fe05180f185e281b5f8385cc4,1,0
0x562c66a423846f4d37fe5f9ce856c0fd19bb28ca,1,0
0x7ffd590b6f044a04e0f393987f8261ecde5a1fa1,1,0
0x0d0a72bbb6710f540b93bb8ad8e2cbf203515c53,1,0
0x35fa30ffacae0b7836105cd750204b39c5d1eff7,1,0
0xefe139ecee9b787ae4329814058003e81a3a40c1,1,0
0xc910b529819ce57c545e9fd506a4d169009a4fa0,1,0
0x7631440207d223a55c55e41c8f8ee28569f959c6,1,0
0x6a24f1fe7d3c3bb83c5adbbcf33b775cfbe88881,1,0
0xa87e7535e6aa294c69b4ddb85ad5d0d743ab0afd,1,0
0xc4836c5cbd80591fcaba73607e9751aa5b43607d,1,0
0x48126c48f9ea786e44e2da83de614f601abdac2f,1,0
0x1077a2aa8ac8414ffd29001e72563b7190389021,1,0
